Model,RMSE,R2,MAE,AIC,BIC
Linear Regression,987.5341533809415,0.9991371823372176,347.94126330908415,,
Polynomial Regression,11887.942614109945,0.8749659847228282,8735.845297781441,,
Random Forest,3497.5852671933153,0.9891769067579109,2014.3801449775692,,
